Consumidor,NBO_1,NBO_2,NBO_3,NBO_4,NBO_5
1,69,61,18,36,49
2,59,60,28,61,68
3,6,20,68,76,71
4,44,64,32,4,18
5,12,44,67,23,10
6,60,22,24,57,58
7,36,48,13,43,9
8,28,22,32,9,31
9,53,12,34,66,76
10,56,15,20,25,32
11,23,27,16,31,6
12,17,14,13,24,47
13,15,64,10,54,58
14,72,55,38,46,66
15,48,28,29,55,3
16,24,58,68,29,48
17,74,49,3,76,35
18,37,11,67,4,33
19,21,10,61,77,65
20,69,58,12,3,6
21,3,18,35,73,75
22,63,12,27,78,5
23,47,11,37,12,46
24,35,22,61,1,34
25,16,3,66,18,34
26,34,76,35,71,1
27,58,38,28,48,7
28,80,22,27,34,51
29,20,14,57,79,33
30,5,69,28,41,61
31,27,12,8,74,5
32,62,2,40,47,6
33,10,30,26,45,62
34,66,72,75,52,10
35,64,57,40,74,7
36,4,15,25,80,7
37,44,15,25,43,21
38,4,62,79,49,77
39,35,73,45,51,61
40,31,9,54,15,16
41,34,14,21,50,71
42,45,28,33,60,25
43,55,63,28,37,44
44,49,4,16,25,3
45,40,6,10,19,21
46,74,8,52,67,3
47,59,10,60,69,76
48,11,60,17,36,70
49,16,22,60,34,52
50,72,14,23,31,33
51,13,36,9,22,23
52,56,63,59,2,6
53,18,32,4,45,59
54,40,68,20,39,3
55,59,46,24,71,4
56,27,40,59,9,6
57,53,17,14,33,63
58,41,3,23,42,1
59,60,24,39,75,52
60,74,50,46,20,27
61,60,32,5,58,37
62,54,42,51,63,3
63,56,26,78,21,41
64,17,49,76,8,14
65,2,36,24,72,4
66,43,80,1,16,5
67,65,11,4,20,70
68,22,5,7,28,33
69,78,46,52,24,28
70,37,19,28,38,49
71,16,63,75,54,10
72,76,13,17,61,80
73,41,47,30,57,9
74,14,2,23,34,55
75,80,12,65,11,78
76,66,46,56,61,9
77,31,37,14,39,74
78,3,63,34,37,47
79,67,16,35,1,18
80,39,1,70,75,78
81,71,80,3,16,21
82,2,45,57,32,75
83,76,2,14,19,66
84,78,35,3,49,60
85,50,20,35,42,70
86,34,57,61,72,22
87,25,55,69,70,21
88,43,62,18,20,25
89,57,11,17,66,40
90,10,31,1,2,43
91,62,7,41,70,3
92,18,35,13,31,38
93,8,59,18,31,4
94,4,26,19,40,80
95,20,63,72,41,74
96,4,63,25,51,68
97,13,34,12,19,30
98,28,14,39,45,78
99,2,25,27,46,20
100,21,9,48,5,13
101,27,59,73,5,31
102,77,29,48,39,4
103,21,53,60,61,7
104,54,50,26,56,1
105,5,25,37,45,64
106,38,44,77,61,1
107,48,25,72,33,49
108,35,46,56,79,14
109,69,34,53,52,80
110,77,9,2,16,28
111,77,42,72,63,67
112,46,3,25,44,65
113,37,24,41,66,78
114,63,19,44,22,40
115,37,58,61,74,3
116,11,13,78,14,15
117,8,61,47,25,30
118,26,43,7,57,4
119,6,22,18,27,33
120,19,15,68,9,40
121,54,7,29,34,38
122,64,9,58,13,19
123,74,11,8,16,76
124,10,48,9,61,4
125,34,64,4,63,66
126,58,53,1,3,56
127,70,3,48,24,51
128,47,11,32,60,12
129,69,46,12,41,62
130,2,22,32,44,1
131,13,67,29,7,43
132,42,11,29,30,44
133,36,41,17,37,76
134,22,46,2,15,3
135,15,49,55,6,37
136,40,14,78,67,80
137,30,68,77,43,51
138,75,50,26,46,54
139,28,43,60,50,12
140,12,29,2,53,5
141,45,12,22,56,66
142,2,36,26,39,72
143,25,69,23,66,72
144,4,70,67,24,26
145,35,17,33,76,40
146,13,25,28,8,17
147,38,39,69,71,10
148,27,56,15,19,51
149,57,64,44,68,35
150,15,65,8,47,27
151,36,45,67,44,51
152,38,9,76,60,1
153,37,41,47,74,4
154,48,9,16,19,54
155,19,38,42,52,3
156,24,27,61,72,18
157,40,26,42,65,1
158,34,42,53,76,9
159,19,10,31,47,53
160,30,45,73,54,58
161,59,66,68,3,9
162,37,29,77,24,25
163,50,26,36,71,33
164,16,7,27,43,11
165,38,69,11,16,48
166,64,65,37,78,18
167,34,65,5,6,7
168,5,1,40,14,20
169,52,42,63,80,5
170,23,50,15,43,46
171,36,17,65,74,78
172,71,14,28,44,49
173,29,45,53,6,16
174,23,58,21,14,55
175,35,38,58,72,55
176,77,16,26,78,19
177,17,20,65,5,9
178,19,77,25,53,56
179,79,8,34,6,15
180,42,22,48,72,2
181,3,30,79,10,12
182,11,39,30,56,32
183,34,64,13,55,18
184,26,11,33,34,58
185,75,64,4,77,2
186,12,1,8,10,46
187,43,77,3,13,22
188,31,38,13,21,62
189,77,41,22,23,4
190,32,38,41,52,72
191,53,30,25,2,8
192,45,46,6,8,67
193,33,19,26,46,51
194,28,39,50,74,24
195,6,68,77,63,19
196,37,2,11,30,54
197,25,26,61,73,9
198,20,32,3,40,19
199,27,58,9,17,39
200,53,40,17,13,26
201,28,63,26,41,14
202,61,3,8,20,22
203,34,36,52,14,68
204,61,10,7,18,33
205,61,22,16,48,11
206,7,11,54,33,22
207,54,66,69,13,14
208,4,3,56,5,43
209,2,26,79,69,75
210,77,46,6,58,10
211,37,18,23,70,38
212,22,38,47,7,1
213,30,76,46,1,9
214,27,16,19,57,63
215,62,69,17,55,5
216,19,66,75,32,50
217,13,44,69,8,9
218,14,25,9,55,80
219,1,37,62,73,34
220,73,13,70,74,43
221,31,79,9,53,24
222,43,24,63,3,56
223,44,53,80,55,9
224,80,15,38,64,19
225,42,51,7,14,71
226,80,15,78,60,76
227,21,2,58,59,63
228,17,49,38,80,10
229,4,38,28,30,7
230,2,29,49,64,72
231,19,67,26,61,69
232,74,78,4,17,50
233,50,67,44,63,7
234,42,9,79,3,8
235,25,41,44,69,80
236,6,40,46,61,8
237,11,26,29,77,16
238,72,76,70,50,20
239,56,43,65,72,20
240,18,38,41,45,2
241,8,5,28,49,15
242,57,47,9,13,12
243,23,62,16,26,54
244,72,16,43,10,18
245,28,35,48,66,13
246,13,71,46,78,1
247,39,3,34,42,10
248,12,16,33,13,46
249,74,33,18,50,53
250,42,38,55,59,25
251,21,55,45,30,61
252,56,30,55,3,12
253,32,5,71,79,6
254,51,18,47,14,20
255,5,79,59,6,19
256,24,71,32,53,58
257,11,48,30,55,63
258,60,79,57,1,12
259,79,58,9,18,22
260,64,10,40,26,29
261,24,20,27,33,46
262,17,71,29,68,1
263,61,4,27,29,72
264,7,40,4,26,32
265,2,20,28,33,57
266,9,46,27,24,32
267,49,66,11,73,75
268,32,40,49,8,17
269,56,5,16,52,57
270,76,56,31,4,10
271,51,63,21,17,27
